"","X","Subclass","Superorder","Order","Family","Genus","EDGE_Scientific_name","IUCN_Scientific_name","Red.List.status","status.color","mean","median","five.percent","ninety.five.percent","min","max","EDGEScientificName","IUCNScientificName","habitat2","TLmax_cm","mindepth_m","maxdepth_m","mediandepth_m","depthrange_m","l10TLmax_cm","l10mindepth_m","l10maxdepth_m","l10depthrange_m","rlbincat3","predict","predictTLMin","thr_tl","thr_tlmindep","thr_tlcol","thr_tlmindepcol","Red.List.status.new","Red.List.status.new.color","Data.type","area.x","Shape_Leng","Shape_Area","area.y","mi.lat","max.lat","lat.range","G.species"
"122",438,"Elasmobranchii","Batoidea","Myliobatiformes","Dasyatidae","Taeniurops","Taeniurops_grabata","Taeniurops grabata","DD","#D1D1C6",47.71755646,50.62320166,26.3607641,62.09089477,20.16737253,80.22135697,"Taeniurops grabata","Taeniurops grabata","Coastal and Continental",250,10,300,155,290,2.397940009,1,2.477121255,"2.462397998",NA,0.540783959,0.492377637,"THR","notTHR","red","green","notTHR","#90E2F6","molecular",2596280,650.1057983,233.1879251,2596280,-17.14289199,45.49548544,62.63837743,"Taeniurops_grabata"
"123",439,"Elasmobranchii","Batoidea","Myliobatiformes","Dasyatidae","Taeniurops","Taeniurops_meyeni","Taeniurops meyeni","VU","#F9E814",47.71755646,50.62320166,26.3607641,62.09089477,20.16737253,80.22135697,"Taeniurops meyeni","Taeniurops meyeni","Coastal and Continental",330,1,439,220,438,2.51851394,0,2.64246452,"2.641474111",1,0.594565165,0.706431108,"THR","THR","red","red","VU","#F9E814","molecular",12682100,3600.855365,1072.618743,12682100,-32.32740946,40.95294571,73.28035517,"Taeniurops_meyeni"
"124",359,"Elasmobranchii","Galeomorphs","Lamniformes","Odontaspididae","Odontaspis","Odontaspis_ferox","Odontaspis ferox","VU","#F9E814",51.84943581,50.32669922,28.52643469,80.8887755,20.34269879,117.5976535,"Odontaspis ferox","Odontaspis ferox","Deepwater",410,13,850,431.5,837,2.612783857,1.113943352,2.929418926,"2.922725458",1,0.635152106,0.534364152,"THR","THR","red","red","VU","#F9E814","taxonomic",5563770,1127.381647,508.4290098,5563770,-42.73493563,48.79216493,91.52710057,"Odontaspis_ferox"
"125",360,"Elasmobranchii","Galeomorphs","Lamniformes","Odontaspididae","Odontaspis","Odontaspis_noronhai","Odontaspis noronhai","DD","#D1D1C6",51.84943581,50.32669922,28.52643469,80.8887755,20.34269879,117.5976535,"Odontaspis noronhai","Odontaspis noronhai","Deep pelagic",71,35,1000,517.5,965,1.851258349,1.544068044,3,"2.984527313",NA,0.303406529,0.250367737,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",179615008,4536.091558,15244.33005,179615008,-35.51306441,40.04943559,75.5625,"Odontaspis_noronhai"
"126",1100,"Elasmobranchii","Squalimorphs","Squatiniformes","Squatinidae","Squatina","Squatina_africana","Squatina africana","DD","#D1D1C6",51.45195407,50.02404505,25.74756725,81.10283007,14.437149,124.0323805,"Squatina africana","Squatina africana","Coastal and Continental",122,1,500,250.5,499,2.086359831,0,2.698970004,"2.698100546",NA,0.400498857,0.590117565,"notTHR","THR","green","red","THR","#648FF4","molecular",682220,154.1858944,59.82709839,682220,-34.50155206,-3.94425206,30.5573,"Squatina_africana"
"127",986,"Elasmobranchii","Squalimorphs","Squaliformes","Centrophoridae","Centrophorus","Centrophorus_zeehaani","","NE","#FFFFFF",46.21154244,49.81317967,15.31054981,73.42268424,11.13951446,102.783557,"Centrophorus zeehaani","","Deepwater",144,208,701,454.5,493,2.158362492,2.318063335,2.845718018,"2.692846919",NA,0.432321429,0.21016082,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",NA,NA,NA,NA,NA,NA,NA,"Centrophorus_zeehaani"
"128",455,"Elasmobranchii","Batoidea","Myliobatiformes","Gymnuridae","Gymnura","Gymnura_zonura","Gymnura zonura","VU","#F9E814",52.19914391,49.75475096,27.73441208,80.06373027,15.81172221,103.368634,"Gymnura zonura","Gymnura zonura","Coastal and Continental",65,1,40,20.5,39,1.812913357,0,1.602059991,"1.591064607",1,0.288867037,0.509856389,"notTHR","THR","green","red","VU","#F9E814","molecular",724715,215.0622942,60.77259969,724715,0.214083329,23.87769508,23.66361175,"Gymnura_zonura"
"129",1068,"Elasmobranchii","Squalimorphs","Squaliformes","Somniosidae","Somniosus","Somniosus_rostratus","Somniosus rostratus","DD","#D1D1C6",45.73787785,49.74770119,25.18408607,59.48921518,20.85049831,75.50798634,"Somniosus rostratus","Somniosus rostratus","Deepwater",140,80,2200,1140,2120,2.146128036,1.903089987,3.342422681,"3.326335861",NA,0.426867014,0.264847585,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",1899450,379.4709699,192.5328042,1899450,22.67294794,48.64894794,25.976,"Somniosus_rostratus"
"130",976,"Elasmobranchii","Squalimorphs","Squaliformes","Centrophoridae","Centrophorus","Centrophorus_atromarginatus","Centrophorus atromarginatus","DD","#D1D1C6",46.21370806,49.69461913,15.3144828,73.3489536,10.35854805,102.783557,"Centrophorus atromarginatus","Centrophorus atromarginatus","Deepwater",94,150,450,300,300,1.973127854,2.176091259,2.653212514,"2.477121255",NA,0.352196041,0.192246595,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",376064,124.4651447,32.64432832,376064,-9.60891807,35.68694306,45.29586113,"Centrophorus_atromarginatus"
"131",453,"Elasmobranchii","Batoidea","Myliobatiformes","Gymnuridae","Gymnura","Gymnura_poecilura","Gymnura poecilura","NT","#CCE226",52.19744684,49.32521206,27.51578521,80.75634365,15.31512787,103.368634,"Gymnura poecilura","Gymnura poecilura","Coastal and Continental",91.5,1,30,15.5,29,1.961421094,0,1.477121255,"1.462397998",NA,0.347351983,0.55377822,"notTHR","THR","green","red","NT","#CCE226","molecular",2017720,1328.864788,168.6958052,2017720,-18.59262627,30.00152779,48.59415406,"Gymnura_poecilura"
