"","toppID","TOPP.ID","serialNumber","commonName","yearDeployed","project","isDrifter","firstDetectionTime","firstDetectionLong","firstDetectionLat","numberDetections"
"46","1507002","1507002",68484,"Shortfin Mako Shark",2007,1,0,"2007-07-04T18:19:41Z","241.604","33.081",16
"47","1507003","1507003",52131,"Shortfin Mako Shark",2007,1,0,"2007-07-23T02:32:34Z","242.651","32.874",16
"48","1507004","1507004",68469,"Shortfin Mako Shark",2007,1,0,"2007-07-31T10:59:45Z","246.358","23.496",5
"49","1507005","1507005",72813,"Shortfin Mako Shark",2007,1,1,"2007-12-02T19:18:30Z","239.841","33.395",7
"50","1507006","1507006",54608,"Shortfin Mako Shark",2007,1,0,"2007-08-12T10:33:30Z","241.893","33.377",20
"51","1507007","1507007",68509,"Shortfin Mako Shark",2007,1,0,"2007-07-17T04:15:14Z","242.526","32.598",11
"52","1507008","1507008",68490,"Shortfin Mako Shark",2007,1,0,"2007-08-08T04:11:43Z","241.787","31.108",18
"53","1507009","1507009",72814,"Shortfin Mako Shark",2007,1,1,"2007-10-22T12:21:33Z","235.626","35.91",11
"54","1507010","1507010",60994,"Shortfin Mako Shark",2007,1,0,"2007-08-23T00:58:35Z","240.106","31.924",18
"55","1507011","1507011",53804,"Shortfin Mako Shark",2007,1,0,"2007-09-11T06:04:55Z","241.101","31.291",30
"56","1507012","1507012",53802,"Shortfin Mako Shark",2007,1,0,"2007-07-26T23:14:17Z","240.686","32.796",22
"57","1508001","1508001",78126,"Shortfin Mako Shark",2008,1,0,"2008-06-12T16:05:09Z","241.481","33.676",2
"58","1508002","1508002",78138,"Shortfin Mako Shark",2008,1,1,"2009-02-18T12:48:45Z","249.81601","22.838",2
"59","1508003","1508003",68304,"Shortfin Mako Shark",2008,1,1,"2008-07-13T17:04:41Z","244.87","28.67",8
"60","1508004","1508004",68518,"Shortfin Mako Shark",2008,1,0,"2008-07-07T02:22:15Z","240.729","32.3",32
"61","1508006","1508006",78127,"Shortfin Mako Shark",2008,1,0,"2008-07-02T03:33:59Z","241.407","33.11",14
"62","1508007","1508007",78148,"Shortfin Mako Shark",2008,1,1,"2008-07-02T00:59:45Z","240.8","34.002",6
"63","1508008","1508008",78155,"Shortfin Mako Shark",2008,1,1,"2009-02-21T06:48:59Z","237.459","28.176",6
"64","1508009","1508009",52240,"Shortfin Mako Shark",2008,1,0,"2009-02-22T05:48:45Z","238.383","32.246",7
"65","1509001","1509001",96293,"Shortfin Mako Shark",2009,1,0,"2009-08-06T03:51:05Z","241.044","33.372",49
"66","1509002","1509002",96296,"Shortfin Mako Shark",2009,1,0,"2009-08-12T02:47:20Z","241.39801","33.25",17
"67","1509003","1509003",96367,"Shortfin Mako Shark",2009,1,0,"2009-08-04T02:39:22Z","240.83301","33.196",26
"68","1509004","1509004",96298,"Shortfin Mako Shark",2009,1,0,"2009-08-18T06:23:26Z","240.52899","29.764",13
"69","1509005","1509005",96366,"Shortfin Mako Shark",2009,1,0,"2009-08-16T03:48:16Z","241.53299","30.067",46
"70","1509006","1509006",96364,"Shortfin Mako Shark",2009,1,0,"2009-08-10T04:18:45Z","241.394","33.555",27
"71","1509007","1509007",96301,"Shortfin Mako Shark",2009,1,0,"2009-08-30T03:09:50Z","241.124","32.583",24
"72","1509008","1509008",96365,"Shortfin Mako Shark",2009,1,0,"2009-08-14T04:22:30Z","241.634","33.414",37
"73","1509009","1509009",87559,"Shortfin Mako Shark",2009,1,0,"2009-08-19T09:22:01Z","242.508","32.574",34
"74","1509010","1509010",87546,"Shortfin Mako Shark",2009,1,0,"2009-09-05T04:10:18Z","240.90799","28.455",31
"75","1509011","1509011",87549,"Shortfin Mako Shark",2009,1,0,"2009-08-22T02:30:28Z","241.707","33.544",41
"76","1509012","1509012",87548,"Shortfin Mako Shark",2009,1,0,"2009-08-24T06:05:37Z","240.948","33.327",28
"77","1510001","1510001",95116,"Shortfin Mako Shark",2010,1,0,"2010-07-20T08:41:43Z","241.711","32.768",5
"78","1510002","1510002",95119,"Shortfin Mako Shark",2010,1,0,"2010-08-01T04:13:35Z","240.571","31.637",29
"79","1510003","1510003",100945,"Shortfin Mako Shark",2010,1,0,"2010-08-19T01:53:54Z","242.357","31.455",45
"80","1511001","1511001",109088,"Shortfin Mako Shark",2011,1,0,"2011-07-01T09:01:24Z","242.288","33.116",27
"81","1511002","1511002",96362,"Shortfin Mako Shark",2011,1,0,"2011-07-17T02:00:56Z","241.476","33.639",32
"82","1512001","1512001",87546,"Shortfin Mako Shark",2012,1,0,"2012-07-01T03:13:35Z","241.588","33.318",10
"83","1512002","1512002",120725,"Shortfin Mako Shark",2012,1,0,"2012-07-13T14:35:09Z","242.067","32.22",63
"84","1512003","1512003",120724,"Shortfin Mako Shark",2012,1,0,"2012-07-13T00:18:16Z","240.41699","33.928",49
"85","1512004","1512004",120686,"Shortfin Mako Shark",2012,1,0,"2012-07-15T06:53:26Z","240.989","33.045",48
"86","1512005","1512005",120685,"Shortfin Mako Shark",2012,1,0,"2012-07-25T02:24:22Z","241.196","29.701",6
"87","1513001","1513001",109089,"Shortfin Mako Shark",2013,1,0,"2013-07-24T00:01:52Z","241.861","31.111",9
"88","1513002","1513002",120687,"Shortfin Mako Shark",2013,1,0,"2013-07-23T05:39:22Z","241.56","33.633",45
"89","1514001","1514001",120690,"Shortfin Mako Shark",2014,1,0,"2014-07-15T10:10:46Z","242.555","32.739",13
"90","1514002","1514002",120688,"Shortfin Mako Shark",2014,1,0,"2014-07-12T13:03:45Z","241.17","33.629",4
"91","1514003","1514003",109094,"Shortfin Mako Shark",2014,1,0,"2014-07-03T01:02:20Z","240.668","33.859",7
"92","1514004","1514004",109093,"Shortfin Mako Shark",2014,1,0,"2014-07-03T02:22:58Z","240.662","33.549",14
"93","1518001","1518001",173599,"Shortfin Mako Shark",2018,1,1,"2018-08-05T22:53:26Z","237.535","34.812",17
"94","1602001","1602001",3191,"Blue Shark",2002,1,1,"2002-08-28T17:49:28Z","245.17801","24.902",2
"95","1602002","1602002",36895,"Blue Shark",2002,1,0,"2002-07-04T20:16:27Z","241.199","31.97",17
"96","1602003","1602003",36894,"Blue Shark",2002,1,0,"2002-08-04T18:16:36Z","239.789","32.217",5
"97","1602004","1602004",37098,"Blue Shark",2002,1,0,"2002-07-23T20:57:05Z","236.285","34.37",1
"98","1602005","1602005",37099,"Blue Shark",2002,1,0,"2002-08-03T03:35:21Z","241.926","33.491",6
"99","1603001","1603001",37608,"Blue Shark",2003,1,0,"2003-07-01T21:11:32Z","238.877","31.835",16
"100","1603002","1603002",37609,"Blue Shark",2003,1,0,"2003-06-28T10:21:19Z","240.33","33.745",12
"101","1603004","1603004",37606,"Blue Shark",2003,1,0,"2003-07-17T20:30:56Z","240.256","34.344",18
"102","1604001","1604001",41782,"Blue Shark",2004,1,1,"2004-07-07T09:57:25Z","242.642","32.319",7
"103","1604002","1604002",41680,"Blue Shark",2004,1,0,"2004-06-24T20:24:57Z","241.44101","32.156",1
"104","1604003","1604003",52127,"Blue Shark",2004,1,0,"2004-07-08T14:34:55Z","237.943","33.827",8
"105","1604004","1604004",54580,"Blue Shark",2004,1,0,"2004-11-26T06:05:58Z","239.617","31.929",3
"106","1604005","1604005",54586,"Blue Shark",2004,1,0,"2004-12-08T14:34:55Z","245.293","28.532",4
"107","1604006","1604006",52216,"Blue Shark",2004,1,0,"2004-10-11T21:24:36Z","244.056","23.875",40
"108","1604007","1604007",53809,"Blue Shark",2004,1,1,"2004-12-29T05:07:08Z","246.219","22.565",2
"109","1604008","1604008",54579,"Blue Shark",2004,1,0,"2004-11-12T06:19:27Z","238.353","35.031",7
"110","1604009","1604009",54587,"Blue Shark",2004,1,0,"2004-11-15T01:19:41Z","236.366","35.763",2
"111","1604010","1604010",54583,"Blue Shark",2004,1,0,"2004-11-17T17:53:33Z","237.199","35.363",18
"112","1604011","1604011",52919,"Blue Shark",2004,1,1,"2005-03-19T14:50:16Z","238.802","12.577",2
"113","1604012","1604012",53792,"Blue Shark",2004,1,0,"2004-11-15T00:40:32Z","237.79599","36.414",9
"114","1604013","1604013",52925,"Blue Shark",2004,1,1,"2004-11-23T12:58:14Z","237.811","36.399",8
"115","1604015","1604015",53791,"Blue Shark",2004,1,0,"2004-11-23T02:30:49Z","239.136","32.613",7
"116","1604016","1604016",53793,"Blue Shark",2004,1,0,"2004-12-03T17:49:06Z","237.305","31.521",12
"117","1604017","1604017",54582,"Blue Shark",2004,1,0,"2004-11-22T15:51:19Z","237.925","34.161",2
"118","1604018","1604018",54581,"Blue Shark",2004,1,0,"2004-12-04T21:15:56Z","243.005","30.417",1
"119","1604019","1604019",53795,"Blue Shark",2004,1,0,"2004-12-01T18:06:54Z","239.627","31.381",4
"120","1604020","1604020",53794,"Blue Shark",2004,1,0,"2004-11-19T01:23:47Z","238.438","35.034",8
"121","1604021","1604021",54601,"Blue Shark",2004,1,0,"2004-11-17T20:05:51Z","238.788","35.449",2
"122","1604022","1604022",52130,"Blue Shark",2004,1,0,"2004-11-28T12:43:00Z","236.65399","33.289",5
"123","1605001","1605001",54572,"Blue Shark",2005,1,1,"2005-07-10T04:58:42Z","242.351","33.325",2
"124","1605002","1605002",54592,"Blue Shark",2005,1,0,"2005-07-11T03:30:07Z","241.689","33.219",17
"125","1606001","1606001",54594,"Blue Shark",2006,1,0,"2006-01-31T15:47:48Z","246.90201","25.309",4
"126","1606002","1606002",54602,"Blue Shark",2006,1,0,"2006-01-30T23:51:19Z","245.85501","25.209",12
"127","1606003","1606003",54605,"Blue Shark",2006,1,0,"2006-02-21T23:00:00Z","245.518","26.052",4
"128","1606004","1606004",54608,"Blue Shark",2006,1,0,"2006-02-14T18:44:17Z","245.262","22.984",2
"129","1606005","1606005",61996,"Blue Shark",2006,1,1,"2006-02-05T18:50:09Z","246.69699","25.054",7
"130","1606006","1606006",54606,"Blue Shark",2006,1,0,"2006-03-01T23:05:23Z","247.07901","22.96",1
"131","1606007","1606007",62000,"Blue Shark",2006,1,1,"2006-03-13T16:46:38Z","247.132","14.897",7
"132","1606008","1606008",54611,"Blue Shark",2006,1,0,"2006-02-20T08:56:15Z","249.6","19.361",1
"133","1606009","1606009",52127,"Blue Shark",2006,1,0,"2006-02-15T22:45:42Z","246.182","20.968",1
"134","1606010","1606010",54596,"Blue Shark",2006,1,0,"2006-02-18T09:18:45Z","247.785","22.083",1
"135","1606012","1606012",54604,"Blue Shark",2006,1,0,"2006-02-04T19:13:21Z","247.1","24.712",2
"136","1606014","1606014",60989,"Blue Shark",2006,1,0,"2006-07-14T10:52:58Z","240.52301","31.301",10
"137","1606015","1606015",60994,"Blue Shark",2006,1,0,"2006-07-20T00:47:48Z","242.638","32.962",6
"138","1607001","1607001",72829,"Blue Shark",2007,1,1,"2007-09-15T20:58:21Z","235.989","6.957",7
"139","1607002","1607002",72810,"Blue Shark",2007,1,1,"2007-12-16T08:53:40Z","246.32599","23.586",7
"140","1607003","1607003",68296,"Blue Shark",2007,1,1,"2007-12-30T15:18:59Z","196.817","40.179",9
"141","1607004","1607004",68501,"Blue Shark",2007,1,0,"2007-07-23T05:22:44Z","233.479","48.568",8
"142","1607005","1607005",68493,"Blue Shark",2007,1,0,"2007-08-08T01:11:00Z","233.327","44.422",11
"143","1607006","1607006",72830,"Blue Shark",2007,1,1,"2008-03-19T17:04:13Z","242.414","32.539",8
"144","1607007","1607007",72831,"Blue Shark",2007,1,1,"2008-02-02T10:42:25Z","238.288","15.108",5
"145","1607008","1607008",68492,"Blue Shark",2007,1,0,"2007-08-04T23:23:54Z","232.00299","45.024",3
"146","1607009","1607009",68299,"Blue Shark",2007,1,1,"2008-03-20T05:50:23Z","240.738","33.971",4
"147","1607010","1607010",68298,"Blue Shark",2007,1,1,"2007-07-28T19:01:38Z","234.068","48.569",12
"148","1607011","1607011",68302,"Blue Shark",2007,1,1,"2008-03-20T21:31:52Z","176.189","37.789",9
"149","1607012","1607012",68300,"Blue Shark",2007,1,1,"2007-11-12T14:22:58Z","226.739","38.678",8
"150","1607013","1607013",53796,"Blue Shark",2007,1,0,"2007-08-08T05:18:02Z","240.64499","32.717",2
"151","1607014","1607014",53803,"Blue Shark",2007,1,0,"2007-08-24T04:42:25Z","240.597","33.334",4
"152","1608001","1608001",68303,"Blue Shark",2008,1,1,"2008-07-05T05:48:59Z","241.472","33.753",6
"153","1608002","1608002",78142,"Blue Shark",2008,1,1,"2008-09-07T22:33:02Z","237.056","15.61",1
"154","1608003","1608003",72821,"Blue Shark",2008,1,1,"2008-12-19T11:44:45Z","210.483","32.612",3
"155","1609001","1609001",96295,"Blue Shark",2009,1,0,"2009-08-14T18:21:33Z","242.95099","30.647",6
"156","1609002","1609002",96299,"Blue Shark",2009,1,0,"2009-08-14T06:02:20Z","240.651","33.276",12
"157","1609003","1609003",96302,"Blue Shark",2009,1,0,"2009-08-24T02:38:54Z","233.10199","42.346",19
"158","1609004","1609004",96294,"Blue Shark",2009,1,0,"2009-08-06T04:11:15Z","240.353","33.88",9
"159","1609005","1609005",96297,"Blue Shark",2009,1,0,"2009-08-20T22:47:48Z","241.97101","30.148",10
"160","1609006","1609006",96300,"Blue Shark",2009,1,0,"2009-08-22T01:43:35Z","239.249","33.263",9
"161","1609007","1609007",87557,"Blue Shark",2009,1,0,"2009-08-15T01:07:58Z","240.73001","33.058",6
"162","1609008","1609008",87547,"Blue Shark",2009,1,0,"2009-09-11T18:53:26Z","236.045","24.378",2
"163","1609009","1609009",87555,"Blue Shark",2009,1,0,"2009-09-01T05:45:00Z","240.351","33.652",4
"164","1610001","1610001",96370,"Blue Shark",2010,1,0,"2010-08-16T03:45:28Z","241.19699","33.393",8
"165","1610002","1610002",95114,"Blue Shark",2010,1,0,"2010-08-03T04:03:45Z","241.168","32.205",5
"166","1610004","1610004",87551,"Blue Shark",2010,1,0,"2010-08-08T23:14:31Z","240.989","32.538",15
"167","1610006","1610006",95120,"Blue Shark",2010,1,0,"2010-07-30T05:26:15Z","239.874","33.445",10
"168","1610007","1610007",95121,"Blue Shark",2010,1,0,"2010-08-09T08:37:30Z","238.89801","28.4",3
