deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,frequencies_monitored,receiver_coding_scheme,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments,deployed_by,expected_receiver_life
,,,,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,,,
ASF,OTN-Global,ASF-Miners Bridge-2016-VR2W-120028,OTN-GlobalASFASF-Miners Bridge-2016-VR2W-120028,VEMCO,VR2W,,,120028,47.192949,-65.88017,2016-05-18T16:18:00Z,2016-06-01T17:59:00Z,ASF,ManmadePlatform,ASF_Miners Bridge-2016,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Neguac 2-2016-VR2W-108591,OTN-GlobalASFASF-Neguac 2-2016-VR2W-108591,VEMCO,VR2W,,,108591,47.20625,-65.038133,2016-05-01T10:54:00Z,2016-08-14T09:01:00Z,ASF,ManmadePlatform,ASF_Neguac 2-2016,3.0,NaN,,,NaN
ASF,OTN-Global,ASF-Neguac 3-2016-VR2W-108592,OTN-GlobalASFASF-Neguac 3-2016-VR2W-108592,VEMCO,VR2W,,,108592,47.205883,-65.046267,2016-05-01T10:51:00Z,2016-08-14T08:55:00Z,ASF,ManmadePlatform,ASF_Neguac 3-2016,2.0,NaN,,,NaN
ASF,OTN-Global,ASF-Nelson-2016-VR2W-108597,OTN-GlobalASFASF-Nelson-2016-VR2W-108597,VEMCO,VR2W,,,108597,46.987439,-65.559123,2016-04-25T17:00:00Z,2016-08-13T14:13:00Z,ASF,ManmadePlatform,ASF_Nelson-2016,4.1,NaN,,,NaN
ASF,OTN-Global,ASF-N. Portage 1-2016-VR2W-106195,OTN-GlobalASFASF-N. Portage 1-2016-VR2W-106195,VEMCO,VR2W,,,106195,47.147483,-65.055717,2016-05-01T09:54:00Z,2016-08-14T09:30:00Z,ASF,ManmadePlatform,ASF_N. Portage 1-2016,10.0,NaN,Temp logger 356466,,NaN
ASF,OTN-Global,ASF-Cassilis 2-MiniLogger-5792J-2013,OTN-GlobalASFASF-Cassilis 2-MiniLogger-5792J-2013,VEMCO,MiniLogger,,,5792J,46.93493,-65.78328,2013-05-08T13:27:00Z,2013-08-08T11:15:00Z,ASF,ManmadePlatform,ASF_ASF-Cassilis 2,2.0,1.5,,,NaN
ASF,OTN-Global,ASF-Parks Landing-2016-VR2W-108609,OTN-GlobalASFASF-Parks Landing-2016-VR2W-108609,VEMCO,VR2W,,,108609,46.932427,-65.797571,2016-04-26T10:25:00Z,2016-08-13T15:55:00Z,ASF,ManmadePlatform,ASF_Parks Landing-2016,5.0,NaN,,,NaN
ASF,OTN-Global,ASF-N. Portage 2-2016-VR2W-106609,OTN-GlobalASFASF-N. Portage 2-2016-VR2W-106609,VEMCO,VR2W,,,106609,47.14785,-65.04855,2016-05-01T09:51:00Z,2016-07-29T12:00:00Z,ASF,ManmadePlatform,ASF_N. Portage 2-2016,11.0,NaN,,,NaN
ASF,OTN-Global,ASF-N. Portage 3-2016-VR2W-108590,OTN-GlobalASFASF-N. Portage 3-2016-VR2W-108590,VEMCO,VR2W,,,108590,47.148,-65.0415,2016-05-01T09:37:00Z,2016-08-14T09:23:00Z,ASF,ManmadePlatform,ASF_N. Portage 3-2016,13.0,NaN,,,NaN
ASF,OTN-Global,ASF-Quarryville-2016-VR2W-108602,OTN-GlobalASFASF-Quarryville-2016-VR2W-108602,VEMCO,VR2W,,,108602,46.82958,-65.784284,2016-04-25T17:00:00Z,2016-06-21T17:20:00Z,ASF,ManmadePlatform,ASF_Quarryville-2016,NaN,NaN,,,NaN
ASF,OTN-Global,ASF-Red Bank-2016-VR2W-108610,OTN-GlobalASFASF-Red Bank-2016-VR2W-108610,VEMCO,VR2W,,,108610,46.94094,-65.81902,2016-04-26T10:15:00Z,2016-08-13T15:42:00Z,ASF,ManmadePlatform,ASF_Red Bank-2016,5.0,NaN,,,NaN
