date,Tag.ID,Transmitter.Name,common_name,Consecutive.Dispersal
2002-09-13,37381,1702001,Salmon Shark,21.492469665917767
2002-09-13,37383,1702003,Salmon Shark,37.37039144074435
2002-09-14,37376,1702002,Salmon Shark,69.6004320524455
2002-09-14,37381,1702001,Salmon Shark,31.25565397892317
2002-09-15,3207,1702007,Salmon Shark,8.029180915686
2002-09-15,37375,1702005,Salmon Shark,6.160649815909574
2002-09-15,37381,1702001,Salmon Shark,30.84844204746382
2002-09-15,37383,1702003,Salmon Shark,6.8467904687539525
2002-09-16,3207,1702007,Salmon Shark,24.272692751242374
2002-09-16,37097,1602001,Blue Shark,49.98591342887498
2002-09-16,37381,1702001,Salmon Shark,17.03785620628798
2002-09-17,3207,1702007,Salmon Shark,26.248145982445987
2002-09-17,37376,1702002,Salmon Shark,133.3696566231692
2002-09-17,37381,1702001,Salmon Shark,42.82359081871424
2002-09-18,3207,1702007,Salmon Shark,22.061188538423387
2002-09-18,37381,1702001,Salmon Shark,27.90400547472641
2002-09-19,3207,1702007,Salmon Shark,15.54916601683337
2002-09-19,37374,1702009,Salmon Shark,0
2002-09-19,37376,1702002,Salmon Shark,143.3930892758125
2002-09-20,3207,1702007,Salmon Shark,58.223975615893565
2002-09-20,37381,1702001,Salmon Shark,63.52151907573409
2002-09-21,3207,1702007,Salmon Shark,4.667218230462836
2002-09-21,37097,1602001,Blue Shark,130.18802564577942
2002-09-21,37376,1702002,Salmon Shark,59.426433108497015
2002-09-22,3207,1702007,Salmon Shark,45.1701485633205
2002-09-22,37381,1702001,Salmon Shark,44.82492995716321
2002-09-23,3207,1702007,Salmon Shark,21.493175147372312
2002-09-23,37374,1702009,Salmon Shark,10.729395312253382
2002-09-23,37381,1702001,Salmon Shark,19.981145289468138
2002-09-24,3207,1702007,Salmon Shark,8.227331028600068
2002-09-24,36895,1602002,Blue Shark,85.14296520002698
2002-09-25,36895,1602002,Blue Shark,40.624893148637504
2002-09-25,37374,1702009,Salmon Shark,6.255764166345097
2002-09-25,37376,1702002,Salmon Shark,95.87118714006044
2002-09-25,37381,1702001,Salmon Shark,49.02326948183313
2002-09-26,36895,1602002,Blue Shark,14.992648491649593
2002-09-26,37376,1702002,Salmon Shark,60.696668773844706
2002-09-27,36895,1602002,Blue Shark,16.133554316975005
2002-09-27,37381,1702001,Salmon Shark,39.09159334552281
2002-09-28,37376,1702002,Salmon Shark,53.747628873072706
2002-09-28,37382,1702011,Salmon Shark,0
2002-09-29,37381,1702001,Salmon Shark,52.961953539481975
2002-09-30,37381,1702001,Salmon Shark,16.288985265060294
2002-10-01,37374,1702009,Salmon Shark,3.038395125095553
2002-10-01,37375,1702005,Salmon Shark,34.11841011613937
2002-10-01,37376,1702002,Salmon Shark,65.27592867137682
2002-10-01,37381,1702001,Salmon Shark,43.91370011466885
2002-10-02,37376,1702002,Salmon Shark,17.429821820053157
2002-10-02,37381,1702001,Salmon Shark,49.073427225585924
2002-10-03,37097,1602001,Blue Shark,101.60243558856
2002-10-03,37376,1702002,Salmon Shark,23.36240583040677
2002-10-03,37381,1702001,Salmon Shark,31.954876949919836
2002-10-05,37381,1702001,Salmon Shark,86.78921002045698
2002-10-06,37381,1702001,Salmon Shark,25.222353265097066
2002-10-07,37381,1702001,Salmon Shark,21.132849850224268
2002-10-08,37375,1702005,Salmon Shark,29.81279500942799
2002-10-08,37376,1702002,Salmon Shark,279.4000595975369
2002-10-09,37376,1702002,Salmon Shark,6.496316634506599
2002-10-09,37381,1702001,Salmon Shark,75.15954097883706
2002-10-09,37383,1702003,Salmon Shark,48.789458520454765
2002-10-10,37382,1702011,Salmon Shark,7.523665569358709
2002-10-12,37097,1602001,Blue Shark,75.41887748276866
2002-10-12,37381,1702001,Salmon Shark,123.35877087309963
2002-10-13,37381,1702001,Salmon Shark,47.15985142339946
2002-10-14,37381,1702001,Salmon Shark,95.9189355748002
2002-10-14,37383,1702003,Salmon Shark,52.55829920726757
2002-10-15,36894,1602003,Blue Shark,5.29245883083956
2002-10-15,36895,1602002,Blue Shark,57.57458806330626
2002-10-15,37375,1702005,Salmon Shark,146.7086026341788
2002-10-15,37376,1702002,Salmon Shark,100.7608014316691
2002-10-16,37375,1702005,Salmon Shark,82.29428191485677
2002-10-16,37376,1702002,Salmon Shark,3.132759477568536
2002-10-17,36894,1602003,Blue Shark,11.362011200734562
2002-10-17,37381,1702001,Salmon Shark,129.70284009690954
2002-10-18,37376,1702002,Salmon Shark,70.12156665381652
2002-10-19,37374,1702009,Salmon Shark,53.77038054060072
2002-10-19,37376,1702002,Salmon Shark,12.637803795870317
2002-10-20,37375,1702005,Salmon Shark,17.071223174845887
2002-10-20,37376,1702002,Salmon Shark,14.423894332366793
2002-10-20,37383,1702003,Salmon Shark,99.87730749973008
2002-10-21,37376,1702002,Salmon Shark,5.902257256109569
2002-10-21,37377,1702010,Salmon Shark,18.248975784840756
2002-10-22,37376,1702002,Salmon Shark,17.732805373583677
2002-10-23,37374,1702009,Salmon Shark,12.25722184239571
2002-10-23,37376,1702002,Salmon Shark,15.832952937557728
2002-10-23,37381,1702001,Salmon Shark,333.7159046001773
2002-10-24,37376,1702002,Salmon Shark,31.242648959656954
2002-10-25,37097,1602001,Blue Shark,180.5930514829656
2002-10-25,37375,1702005,Salmon Shark,331.07246603500533
2002-10-25,37376,1702002,Salmon Shark,42.355748190627
2002-10-26,37375,1702005,Salmon Shark,47.13411430780563
2002-10-26,37376,1702002,Salmon Shark,29.125595537385166
2002-10-27,37097,1602001,Blue Shark,25.265043777860903
2002-10-27,37376,1702002,Salmon Shark,13.036769486327776
2002-10-27,37381,1702001,Salmon Shark,209.60860908350665
2002-10-28,37375,1702005,Salmon Shark,81.14767544298854
2002-10-28,37376,1702002,Salmon Shark,60.45429131330882
2002-10-28,37381,1702001,Salmon Shark,22.756430727421456
2002-10-29,37374,1702009,Salmon Shark,85.66853731165934
2002-10-29,37376,1702002,Salmon Shark,33.5136509557202
2002-10-29,37380,1702008,Salmon Shark,1141.524029359859
2002-10-30,36894,1602003,Blue Shark,23.03353693798546
2002-10-30,37376,1702002,Salmon Shark,26.113418752507638
2002-10-31,37376,1702002,Salmon Shark,26.300841973994814
2002-11-01,37376,1702002,Salmon Shark,19.06893430927699
2002-11-01,37381,1702001,Salmon Shark,187.15487038984776
2002-11-02,37376,1702002,Salmon Shark,46.99382322681718
2002-11-02,37381,1702001,Salmon Shark,71.22931602012933
2002-11-02,37383,1702003,Salmon Shark,483.2524561171223
2002-11-03,37376,1702002,Salmon Shark,50.440289275250485
2002-11-05,37375,1702005,Salmon Shark,62.05878621242182
2002-11-05,37376,1702002,Salmon Shark,108.36804071081706
2002-11-06,37376,1702002,Salmon Shark,16.798261709522148
2002-11-06,37381,1702001,Salmon Shark,94.76228071943603
2002-11-06,37383,1702003,Salmon Shark,162.68479951423032
2002-11-07,37376,1702002,Salmon Shark,48.85464289001642
2002-11-07,37381,1702001,Salmon Shark,20.010004948967953
