date,Tag.ID,Transmitter.Name,common_name,Daily.Dispersal,mean.Daily.Velocity
2002-06-26,37097,1602001,Blue Shark,3.8833123337104483,1.3992517667258146
2002-06-27,37097,1602001,Blue Shark,169.55437633360106,8.064097800337729
2002-07-08,36895,1602002,Blue Shark,211.59629332759582,36.29158005344759
2002-07-16,36895,1602002,Blue Shark,253.55316578542116,32.39064774492655
2002-07-16,37383,1702003,Salmon Shark,5.158054597058854,1.5416121295199359
2002-07-19,36895,1602002,Blue Shark,142.1530025265426,15.025971997326963
2002-07-20,3281,1901003,White Shark,33.00890431176485,1.1650545291179077
2002-07-21,3281,1901003,White Shark,18.553160871436575,0.8554956569575662
2002-07-22,3281,1901003,White Shark,8.47915376896652,0.6086728397387982
2002-07-23,3281,1901003,White Shark,9.983267037016883,0.32322426149765815
2002-07-23,36895,1602002,Blue Shark,38.234383747279765,10.627837582488729
2002-07-24,36895,1602002,Blue Shark,20.56203938347213,17.466402551610827
2002-07-26,36895,1602002,Blue Shark,42.891585275195055,26.148423105472315
2002-07-26,37376,1702002,Salmon Shark,22.08937024778777,0.661370570973285
2002-07-28,36895,1602002,Blue Shark,19.407333566224047,7.0416825692570155
2002-07-31,37381,1702001,Salmon Shark,535.9228720115572,80.78562680016773
2002-08-01,37376,1702002,Salmon Shark,13.738989192554778,1.0467735428110467
2002-08-01,37381,1702001,Salmon Shark,111.5289616437117,35.95373362604447
2002-08-02,37376,1702002,Salmon Shark,1.7720446691079863,0.5238430619796971
2002-08-02,37381,1702001,Salmon Shark,56.52189436006104,2.651500758345861
2002-08-05,36895,1602002,Blue Shark,247.67103835803533,33.93561018464921
2002-08-05,37381,1702001,Salmon Shark,198.7518711474011,69.39396694860746
2002-08-06,37376,1702002,Salmon Shark,0.31229491869447806,0.07670083793898251
2002-08-07,37381,1702001,Salmon Shark,139.19174001445742,76.3769788594363
2002-08-08,37381,1702001,Salmon Shark,45.430107188474075,2.432561180945468
2002-08-09,36895,1602002,Blue Shark,47.036641393607546,10.209609816802518
2002-08-09,37381,1702001,Salmon Shark,56.040883536531425,26.910712701175868
2002-08-10,37381,1702001,Salmon Shark,61.10095783661688,60.086989882352185
2002-08-12,36895,1602002,Blue Shark,73.75286542165315,27.377254271325167
2002-08-13,37381,1702001,Salmon Shark,197.98130753192945,63.254919037059366
2002-08-14,36895,1602002,Blue Shark,23.48696213093989,5.6546197353634025
2002-08-14,37381,1702001,Salmon Shark,34.10991511293523,1.9377866790005693
2002-08-15,37376,1702002,Salmon Shark,38.39853815453853,4.082050769870363
2002-08-15,37381,1702001,Salmon Shark,21.86645951139757,1.0119586862028211
2002-08-16,37376,1702002,Salmon Shark,4.834214533546387,0.40031219397265017
2002-08-17,37376,1702002,Salmon Shark,14.093797239961477,11.978673974312109
2002-08-17,37381,1702001,Salmon Shark,146.81280397243324,23.230231145154914
2002-08-18,37381,1702001,Salmon Shark,32.8000460704945,1.2969821120340508
2002-08-19,37381,1702001,Salmon Shark,27.47970743058176,1.2689286534304889
2002-08-20,36894,1602003,Blue Shark,248.71317880293702,5.882836325944504
2002-08-20,36895,1602002,Blue Shark,62.22230578122019,6.378093108641382
2002-08-20,37381,1702001,Salmon Shark,50.82481345059826,2.1226632685462974
2002-08-21,36895,1602002,Blue Shark,29.200174396733154,24.525796104462508
2002-08-21,37381,1702001,Salmon Shark,45.88238257031545,21.041256530803317
2002-08-22,36895,1602002,Blue Shark,12.57983077462303,0.5280466254913823
2002-08-22,37381,1702001,Salmon Shark,40.18046673561984,1.7558834698741372
2002-08-23,36895,1602002,Blue Shark,23.558760227550962,0.853680778868628
2002-08-23,37376,1702002,Salmon Shark,401.6803021178354,66.75638919704427
2002-08-23,37381,1702001,Salmon Shark,10.653837700434048,0.24046007944135625
2002-08-24,36895,1602002,Blue Shark,8.60449312013422,0.5915247162213075
2002-08-24,37381,1702001,Salmon Shark,21.216536482417297,0.9146372962674507
2002-08-26,36895,1602002,Blue Shark,18.120257121557522,8.928882259054237
2002-08-26,37376,1702002,Salmon Shark,169.39492689509945,52.61014581201685
2002-08-26,37381,1702001,Salmon Shark,33.134375799418045,16.122240194345405
2002-08-28,36895,1602002,Blue Shark,28.144685088601598,4.642433206299777
2002-08-29,36895,1602002,Blue Shark,10.416211442375454,0.3798648825306453
2002-08-29,37376,1702002,Salmon Shark,205.9910349709463,69.1911540971673
2002-08-30,37376,1702002,Salmon Shark,4.12633387351407,0.31229874163584603
2002-08-30,37381,1702001,Salmon Shark,103.15491569652859,25.771428659522748
2002-08-31,37376,1702002,Salmon Shark,48.9796415034022,19.767514168333026
2002-08-31,37381,1702001,Salmon Shark,17.70638299841251,0.8231060509062917
2002-09-01,37381,1702001,Salmon Shark,34.8793345674869,33.147529606340804
2002-09-03,37377,1702010,Salmon Shark,120.07976640261889,2.597821016950808
2002-09-03,37381,1702001,Salmon Shark,74.4693306991475,19.023197214097284
2002-09-04,36895,1602002,Blue Shark,20.901127914415817,2.746078362732008
2002-09-04,37376,1702002,Salmon Shark,303.54338319810086,64.44246088978527
2002-09-05,36895,1602002,Blue Shark,33.06159809120271,1.360668627594099
2002-09-05,37376,1702002,Salmon Shark,5.656990792871631,0.7653415207597153
2002-09-05,37381,1702001,Salmon Shark,57.64293955913769,29.288251284414198
2002-09-06,36895,1602002,Blue Shark,6.465846094850553,0.2712974037163835
2002-09-06,37381,1702001,Salmon Shark,21.558533564348135,0.9138736630162294
2002-09-07,36895,1602002,Blue Shark,33.886272232071086,1.287109240599433
