"","G.species","Length_cm","body.mass.kg","sex","tag_id","tag_project_name","tag.type","num_det","days_det","num_stations","DI","ReleaseDate","release_latitude","release_longitude","days.at.liberty","dis_min","dis_25","dis_50","dis_75","dis_max","dis_mean","dis_sd","Habitat","Trophic.group","Common.Name","vel_min","vel_25","vel_50","vel_75","vel_max","vel_mean","vel_sd","subclass","superorder","order","family","Genus","species","IUCN_Scientific_name","size.at.mat","max.size","pup.size","length.weight.a","length.weight.b","habitat","habitat2","min.depth","max.depth","median.depth","range.depth","min.lat","max.lat","range.lat","area","age.mat","max.age","k","bearing.mode","trophic.mode","repro.coarse","mode","breeding.interval","development","litter.size","median.ED","Red.List.status.new"
"257","Galeorhinus_galeus",46,0.4182266698,"F","110521085","Chondrichthyan monitoring of south-east Australia","PassAcoustic",94,7,9,0.005843072,NA,-42.7987,147.5044,1197,0,0,0,0,61.33211182,0.958493878,6.336634596,"B","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Triakidae","Galeorhinus","Galeorhinus_galeus","Galeorhinus galeus",131.1,164.5,30.75,8e-04,3.35,"Shelf","Coastal and Continental",2,800,401,798,-56.12115206,73.54894794,129.6701,11358300,12.6,36.2,0.105,"live-bearing","lecithotroph","lecithotrophic_lb","Yolk-sac Live-bearing",3,12,24.9,66.6378463,"VU"
"258","Carcharhinus_brachyurus",130,16.30874236,"F","128192142","Gulf St Vincent monitoring","PassAcoustic",52,3,3,0.005882353,NA,-34.5389,138.2434,509,0,0,0,1.338265889,2.794231359,0.504202293,0.669438176,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_brachyurus","Carcharhinus brachyurus",206.1,275,65,0.014,2.9,"Shelf","Pelagic",1,100,50.5,99,-52.5772655,45.79730606,98.37457156,7865880,20.9,34.5,0.049,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,18,16.6,25.07939095,"NT"
"259","Galeocerdo_cuvier",92,6.100327219,"F","130193633","AATAMS Heron Island","PassAcoustic",9,2,6,0.006024096,NA,-18.7442,147.256,332,0,0,2.446086526,20.32979384,49.7829618,14.11443976,19.39845362,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Galeocerdo","Galeocerdo_cuvier","Galeocerdo cuvier",333.5,410,68.5,0.0028,3.25,"Shelf","Pelagic",1,140,70.5,139,-38.11219163,52.9531502,91.06534183,26274000,10,22.5,0.184,"live-bearing","lecithotroph","lecithotrophic_lb","Yolk-sac Live-bearing",2,14,31.5,86.24503894,"NT"
"260","Carcharhinus_leucas",NA,NA,"F","71373823","NSW DPI Movements of Coastal Sharks","PassAcoustic",388,22,26,0.006027397,NA,-33.8529,151.2384,3650,0,0.611454631,3.04345398,6.982636102,596.0768273,13.05650718,72.92949471,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_leucas","Carcharhinus leucas",225,300.2,67,0.0047,2.91,"Shelf","Pelagic",1,152,76.5,151,-37.75126064,43.32690849,81.07816913,13002400,18,28,0.076,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,10.5,9.9,23.52615999,"NT"
"261","Carcharhinus_leucas",NA,NA,"F","43669486","Townsville Reefs","PassAcoustic",30,5,9,0.006067961,NA,-18.6324,147.0545,824,0,0,0,1.698415155,95.26819174,8.618009857,21.53492272,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_leucas","Carcharhinus leucas",225,300.2,67,0.0047,2.91,"Shelf","Pelagic",1,152,76.5,151,-37.75126064,43.32690849,81.07816913,13002400,18,28,0.076,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,10.5,9.9,23.52615999,"NT"
"262","Heterodontus_portusjacksoni",117,11.03289513,"F","50577773","MQ Port Jackson shark movements and social networks","PassAcoustic",349,17,5,0.006071429,NA,-35.0616,150.7186,2799,0,0,0,0,8.995770611,0.123167794,0.708580021,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_portusjacksoni","Heterodontus portusjacksoni",87.5,123,23,0.00389,3.12,"Shelf","Coastal and Continental",1,275,138,274,-45.33083212,-26.88899591,18.4418362,1324870,12.5,NA,0.082,"egg-laying","lecithotroph","egg-laying","Egg-Laying",1,12,13.5,49.05287477,"LC"
"263","Heterodontus_portusjacksoni",NA,NA,"F","78228945","NSW DPI (Artificial Reef Network)","PassAcoustic",11,2,11,0.006079027,2009-05-13,-33.853,151.2887,329,0,2.530899477,10.05502647,12.43825726,14.8393275,8.070210773,5.847082374,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_portusjacksoni","Heterodontus portusjacksoni",87.5,123,23,0.00389,3.12,"Shelf","Coastal and Continental",1,275,138,274,-45.33083212,-26.88899591,18.4418362,1324870,12.5,NA,0.082,"egg-laying","lecithotroph","egg-laying","Egg-Laying",1,12,13.5,49.05287477,"LC"
"264","Carcharhinus_plumbeus",138,30.42667038,"F","129584025","FRDC WA commercial sharks","PassAcoustic",26,5,8,0.006134969,2007-01-11,-21.8908,113.9087,815,0,0,0,0.760327986,84.7003061,16.59178833,30.90569345,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_plumbeus","Carcharhinus plumbeus",176,226.5,52.5,0.0014,3.34,"Shelf","Pelagic",1,280,140.5,279,-37.27911462,45.79730606,83.07642068,21432300,11.4,22.4,0.093,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,12,7.9,18.47931729,"VU"
"265","Stegostoma_fasciatum",200,58.77101454,"F","78425182","Leopard shark Stegostoma East Coast","PassAcoustic",183,10,6,0.006142506,NA,-27.4236,153.5472,1628,0,0,0,0,22.0720901,0.68632548,2.796050195,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Orectolobiformes","Stegostomatidae","Stegostoma","Stegostoma_fasciatum","Stegostoma fasciatum",170,235,28,0.00389,3.12,"Shelf","Coastal and Continental",1,62,31.5,61,-35.31058855,34.79100037,70.10158892,10512600,NA,NA,NA,"egg-laying","lecithotroph","egg-laying","Egg-Laying",NA,NA,NA,53.81874431,"VU"
"266","Carcharhinus_brachyurus",106,8.680218093,"F","757289","Gulf St Vincent monitoring","PassAcoustic",171,13,5,0.006143667,NA,-34.6042,138.1841,2116,0,0,0,0,35.45274139,0.650872863,4.225144598,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_brachyurus","Carcharhinus brachyurus",206.1,275,65,0.014,2.9,"Shelf","Pelagic",1,100,50.5,99,-52.5772655,45.79730606,98.37457156,7865880,20.9,34.5,0.049,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,18,16.6,25.07939095,"NT"
