Aetobatus_flagellum,Aetobatus_flagellum
Aetobatus_narinari,Aetobatus_narinari
Dasyatis_acutirostra,Telatrygon_acutirostra
Dasyatis_akajei,Hemitrygon_akajei
Dasyatis_americana,Hypanus_americanus
Dasyatis_bennetti,Hemitrygon_bennetti
Dasyatis_brevicaudata,Bathytoshia_brevicaudata
Dasyatis_centroura,Bathytoshia_centroura
Dasyatis_chrysonota,Dasyatis_chrysonota
Dasyatis_colarensis,Fontitrygon_colarensis
Dasyatis_dipterura,Hypanus_dipterurus
Dasyatis_fluviorum,Hemitrygon_fluviorum
Dasyatis_garouaensis,Fontitrygon_garouaensis
Dasyatis_geijskesi,Fontitrygon_geijskesi
Dasyatis_gigantea,Dasyatis_gigantea
Dasyatis_guttata,Hypanus_guttatus
Dasyatis_hastata,Dasyatis_hastata
Dasyatis_hypostigma,Dasyatis_hypostigma
Dasyatis_izuensis,Hemitrygon_izuensis
Dasyatis_laevigata,Hemitrygon_laevigata
Dasyatis_laosensis,Hemitrygon_laosensis
Dasyatis_lata,Bathytoshia_lata
Dasyatis_longa,Hypanus_longus
Dasyatis_margarita,Fontitrygon_margarita
Dasyatis_margaritella,Fontitrygon_margaritella
Dasyatis_marianae,Hypanus_marianae
Dasyatis_marmorata,Dasyatis_marmorata
Dasyatis_matsubarai,Dasyatis_matsubarai
Dasyatis_microps,Megatrygon_microps
Dasyatis_multispinosa,Dasyatis_multispinosa
Dasyatis_navarrae,Hemitrygon_navarrae
Dasyatis_parvonigra,Hemitrygon_parvonigra
Dasyatis_pastinaca,Dasyatis_pastinaca
Dasyatis_rudis,Hypanus_rudis
Dasyatis_sabina,Hypanus_sabinus
Dasyatis_say,Hypanus_say
Dasyatis_sinensis,Hemitrygon_sinensis
Dasyatis_thetidis,Dasyatis_thetidis
Dasyatis_tortonesei,Dasyatis_tortonesei
Dasyatis_ushiei,Dasyatis_ushiei
Dasyatis_zugei,Telatrygon_zugei
Himantura_astra,Maculabatis_astra
Himantura_dalyensis,Urogymnus_dalyensis
Himantura_fai,Pateobatis_fai
Himantura_gerrardi,Maculabatis_gerrardi
Himantura_granulata,Urogymnus_granulatus
Himantura_hortlei,Pateobatis_hortlei
Himantura_imbricata,Brevitrygon_imbricata
Himantura_jenkinsii,Pateobatis_jenkinsii
Himantura_kittipongi,Fluvitrygon_kittipongi
Himantura_leoparda,Himantura_leoparda
Himantura_lobistoma,Urogymnus_lobistoma
Himantura_marginata,Himantura_marginata
Himantura_oxyrhyncha,Fluvitrygon_oxyrhynchus
Himantura_pastinacoides,Maculabatis_pastinacoides
Himantura_polylepis,Urogymnus_polylepis
Himantura_randalli,Maculabatis_randalli
Himantura_signifer,Fluvitrygon_signifer
Himantura_toshi,Maculabatis_toshi
